,precision,recall,f1-score,support
Bladder Disorder,0.2,0.044444444444444446,0.07272727272727272,45.0
Diabetic Retinopathy,0.3225806451612903,0.22727272727272727,0.26666666666666666,44.0
Skin Polyp,0.3333333333333333,0.36363636363636365,0.34782608695652173,121.0
Skin Disorder,0.2949640287769784,0.5256410256410257,0.3778801843317972,78.0
Skin Pigmentation Disorder,0.38016528925619836,0.38016528925619836,0.38016528925619836,121.0
Post-Traumatic Stress Disorder (Ptsd),0.3188405797101449,0.5945945945945946,0.41509433962264153,74.0
Seborrheic Keratosis,0.33766233766233766,0.6610169491525424,0.4469914040114613,118.0
Neuralgia,0.6666666666666666,0.35,0.45901639344262296,80.0
Corneal Disorder,0.4819277108433735,0.5128205128205128,0.4968944099378882,78.0
Corneal Abrasion,0.45901639344262296,0.6086956521739131,0.5233644859813084,46.0
